,Exams,Percentage,Solution_code1,Solution_code2,Time_code1,Time_code2
589,10,0.84,,5.0,,0.000155
590,10,0.85,,5.0,,0.000145
591,10,0.86,,5.0,,0.000148
592,10,0.87,,5.0,,0.000117
593,10,0.88,,5.0,,0.00011399999999999999
594,10,0.89,,5.0,,0.00010700000000000001
595,10,0.9,,5.0,,0.00014
596,10,0.91,,5.0,,0.00014099999999999998
597,10,0.92,,5.0,,0.00010700000000000001
598,10,0.93,,6.0,,0.000606
599,10,0.94,,7.0,,0.000686
600,10,0.95,,7.0,,0.000683
601,10,0.96,,8.0,,0.00246
602,10,0.97,,9.0,,0.008419
603,10,0.98,,10.0,,0.064739
604,10,0.99,,10.0,,0.061975999999999996
605,10,1.0,,10.0,,0.065579
606,11,0.0,,2.0,,8e-06
607,11,0.01,,2.0,,8e-06
608,11,0.02,,2.0,,8e-06
609,11,0.03,,2.0,,8e-06
610,11,0.04,,2.0,,9e-06
611,11,0.05,,2.0,,9e-06
612,11,0.06,,2.0,,9e-06
613,11,0.07,,2.0,,9e-06
614,11,0.08,,2.0,,8e-06
615,11,0.09,,2.0,,1e-05
616,11,0.1,,2.0,,8e-06
617,11,0.11,,2.0,,1.1e-05
618,11,0.12,,3.0,,1.3000000000000001e-05
619,11,0.13,,3.0,,1.2e-05
620,11,0.14,,3.0,,1.2e-05
621,11,0.15,,3.0,,1.2e-05
622,11,0.16,,3.0,,1.2e-05
623,11,0.17,,3.0,,1.1e-05
624,11,0.18,,3.0,,1.1e-05
625,11,0.19,,3.0,,1.1e-05
626,11,0.2,,3.0,,1.3000000000000001e-05
627,11,0.21,,3.0,,2.8000000000000003e-05
628,11,0.22,,3.0,,1.1e-05
629,11,0.23,,3.0,,1.3000000000000001e-05
630,11,0.24,,3.0,,1.1e-05
631,11,0.25,,3.0,,1.2e-05
632,11,0.26,,3.0,,1.1e-05
633,11,0.27,,3.0,,1.2e-05
634,11,0.28,,3.0,,1.3000000000000001e-05
